Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Number_of_vehicles_involved
18-30,male,junior high school,employee,5-10yr,other,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,collision with roadside objects,reversing,not a pedestrian,changing lane to the right,Slight Injury,2
over 51,male,junior high school,employee,5-10yr,lorry,other,double carriageway (median),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,unknown or other,changing lane to the right,Slight Injury,1
31-50,male,elementary school,owner,2-5yr,car,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,unknown or other,driving carelessly,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,lorry,office areas,one way,y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,male,elementary school,employee,2-5yr,bus,office areas,other,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,lorry,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,overtaking,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,moving backward,Slight Injury,2
31-50,male,junior high school,owner,1-2yr,mootorbike,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,collision with pedestrians,reversing,not a pedestrian,driving under the influence of drugs,Slight Injury,1
18-30,male,junior high school,employee,5-10yr,lorry,residential areas,other,no junction,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
over 51,male,junior high school,employee,1-2yr,lorry,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,driving to the left,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,bus,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,3
18-30,male,junior high school,employee,above 10yr,car,school areas,double carriageway (median),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
under 18,male,junior high school,employee,above 10yr,lorry,school areas,double carriageway (median),crossing,asphalt roads,daylight,normal,collision with pedestrians,going straight,unknown or other,changing lane to the left,Slight Injury,2
31-50,male,high school,owner,2-5yr,car,other,undivided two way,y shape,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,junior high school,owner,above 10yr,car,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,driving carelessly,Slight Injury,1
18-30,male,junior high school,employee,above 10yr,car,school areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,1
31-50,male,junior high school,employee,2-5yr,car,industrial areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,unknown,employee,above 10yr,car,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,raining,collision with pedestrians,reversing,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,below 1yr,car,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,owner,5-10yr,car,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,driving carelessly,Slight Injury,1
31-50,male,high school,owner,5-10yr,lorry,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,driving to the left,Slight Injury,1
31-50,male,junior high school,employee,5-10yr,car,office areas,double carriageway (median),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,crossing from offside - masked by  parked or stationot a pedestrianry vehicle,overtaking,Slight Injury,1
18-30,male,elementary school,employee,5-10yr,lorry,industrial areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Serious Injury,2
31-50,male,junior high school,employee,2-5yr,car,other,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,1
under 18,male,elementary school,employee,2-5yr,other,office areas,other,o shape,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,no priority to vehicle,Serious Injury,2
31-50,male,junior high school,employee,5-10yr,car,school areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,1
31-50,male,junior high school,employee,5-10yr,bus,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,unknown,junior high school,employee,unknown,other,market areas,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,other,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,changing lane to the left,Slight Injury,2
18-30,male,junior high school,owner,5-10yr,car,office areas,other,y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,unknown or other,changing lane to the left,Slight Injury,1
over 51,male,junior high school,employee,2-5yr,car,church areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,1
18-30,male,junior high school,employee,below 1yr,other,church areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,1
18-30,male,junior high school,employee,1-2yr,car,residential areas,double carriageway (median),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
over 51,male,junior high school,employee,above 10yr,car,residential areas,double carriageway (median),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,3
over 51,male,junior high school,employee,2-5yr,lorry,other,double carriageway (median),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,3
31-50,male,junior high school,employee,1-2yr,car,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,1
under 18,male,elementary school,employee,5-10yr,car,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,getting off the vehicle improperly,Serious Injury,1
31-50,male,junior high school,employee,below 1yr,lorry,church areas,undivided two way,y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,writing & reading,employee,below 1yr,lorry,other,undivided two way,y shape,asphalt roads,daylight,normal,collision with roadside objects,reversing,not a pedestrian,no distancing,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,lorry,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,elementary school,owner,5-10yr,mootorbike,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,writing & reading,employee,5-10yr,car,industrial areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,1
31-50,male,writing & reading,employee,5-10yr,other,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,3
18-30,male,junior high school,employee,5-10yr,lorry,church areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,below 1yr,lorry,other,two-way (divided with solid lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,turnover,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,owner,5-10yr,car,church areas,two-way (divided with solid lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,no distancing,Slight Injury,2
31-50,male,elementary school,employee,below 1yr,other,church areas,two-way (divided with solid lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,unknown or other,changing lane to the right,Slight Injury,3
18-30,male,high school,employee,above 10yr,car,other,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,elementary school,employee,5-10yr,lorry,office areas,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,moving backward,Slight Injury,2
18-30,male,high school,owner,above 10yr,car,residential areas,undivided two way,y shape,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,moving backward,Slight Injury,1
18-30,male,unknown,owner,below 1yr,lorry,residential areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,moving backward,Slight Injury,2
18-30,male,writing & reading,owner,5-10yr,mootorbike,other,other,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,overtaking,Slight Injury,2
31-50,male,above high school,employee,above 10yr,car,other,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,driving carelessly,Serious Injury,2
31-50,male,high school,employee,below 1yr,lorry,other,one way,y shape,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,changing lane to the left,Serious Injury,2
18-30,male,junior high school,owner,above 10yr,lorry,residential areas,one way,y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,3
31-50,male,junior high school,owner,2-5yr,lorry,office areas,double carriageway (median),no junction,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,1
under 18,male,unknown,owner,above 10yr,other,other,double carriageway (median),o shape,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,junior high school,owner,2-5yr,car,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,changing lane to the right,Slight Injury,1
over 51,male,elementary school,owner,above 10yr,lorry,office areas,unknown,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,3
over 51,male,writing & reading,owner,5-10yr,lorry,office areas,one way,no junction,gravel roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,3
over 51,male,unknown,owner,unknown,lorry,other,undivided two way,no junction,asphalt roads,daylight,normal,rollover,going straight,not a pedestrian,driving carelessly,Slight Injury,3
18-30,male,junior high school,owner,2-5yr,car,church areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,collision with pedestrians,reversing,not a pedestrian,no distancing,Slight Injury,2
under 18,male,elementary school,employee,2-5yr,lorry,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,lorry,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,three_wheeler,residential areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,other,two-way (divided with broken lines road marking),other,asphalt roads with some distress,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,car,other,double carriageway (median),y shape,asphalt roads,daylight,normal,rollover,waiting to go,not a pedestrian,no distancing,Slight Injury,2
31-50,male,junior high school,owner,5-10yr,lorry,recreational areas,undivided two way,y shape,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,changing lane to the left,Serious Injury,1
18-30,unknown,junior high school,employee,5-10yr,other,other,other,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,junior high school,employee,below 1yr,car,office areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,overturning,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,car,office areas,undivided two way,crossing,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,moving backward,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,residential areas,other,y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,driving carelessly,Slight Injury,2
over 51,male,junior high school,employee,below 1yr,car,other,other,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,unknown,other,school areas,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,2
31-50,male,writing & reading,employee,below 1yr,other,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,overspeed,Slight Injury,2
under 18,male,junior high school,employee,1-2yr,lorry,school areas,unknown,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,elementary school,employee,above 10yr,lorry,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,1
31-50,male,junior high school,employee,2-5yr,car,other,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,3
31-50,male,high school,employee,1-2yr,bus,residential areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
over 51,male,junior high school,employee,5-10yr,bus,other,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
over 51,male,junior high school,employee,below 1yr,car,industrial areas,undivided two way,o shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,no distancing,Slight Injury,2
18-30,male,elementary school,employee,unknown,bicycle,recreational areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,lorry,office areas,two-way (divided with broken lines road marking),o shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,elementary school,employee,2-5yr,car,other,two-way (divided with broken lines road marking),o shape,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,drunk driving,Slight Injury,2
18-30,male,junior high school,employee,below 1yr,car,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,high school,employee,above 10yr,bus,residential areas,undivided two way,y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,elementary school,owner,5-10yr,other,office areas,other,y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,getting off the vehicle improperly,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,other,other,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,1
31-50,male,junior high school,employee,5-10yr,lorry,church areas,other,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,crossing from driver's nearside,changing lane to the left,Slight Injury,1
31-50,male,elementary school,employee,5-10yr,car,other,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,elementary school,employee,2-5yr,lorry,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,below 1yr,other,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,elementary school,employee,1-2yr,car,other,double carriageway (median),y shape,asphalt roads,daylight,normal,rollover,reversing,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,unknown,lorry,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,elementary school,employee,above 10yr,lorry,church areas,unknown,y shape,asphalt roads with some distress,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,overturning,Slight Injury,2
31-50,male,junior high school,employee,below 1yr,lorry,other,double carriageway (median),y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,high school,employee,above 10yr,car,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,elementary school,employee,1-2yr,other,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,raining and windy,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,elementary school,employee,1-2yr,mootorbike,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,getting off,not a pedestrian,no priority to pedestrian,Slight Injury,1
31-50,male,junior high school,employee,5-10yr,lorry,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,drunk driving,Slight Injury,4
18-30,male,elementary school,employee,5-10yr,other,other,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,4
18-30,male,high school,owner,below 1yr,car,church areas,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,rollover,waiting to go,not a pedestrian,driving carelessly,Slight Injury,4
18-30,male,junior high school,employee,above 10yr,bus,residential areas,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving to the left,Slight Injury,4
18-30,male,junior high school,employee,5-10yr,lorry,other,undivided two way,crossing,asphalt roads,daylight,windy,vehicle with vehicle collision,other,not a pedestrian,changing lane to the right,Slight Injury,1
under 18,male,junior high school,employee,below 1yr,lorry,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,changing lane to the right,Serious Injury,2
31-50,male,junior high school,employee,above 10yr,car,other,double carriageway (median),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,unknown or other,driving carelessly,Serious Injury,2
18-30,male,junior high school,owner,above 10yr,car,recreational areas,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,bus,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,overtaking,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,lorry,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving under the influence of drugs,Slight Injury,2
31-50,male,high school,owner,above 10yr,lorry,church areas,double carriageway (median),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,elementary school,employee,2-5yr,lorry,other,one way,y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,no priority to vehicle,Slight Injury,1
over 51,male,high school,employee,2-5yr,car,other,undivided two way,crossing,asphalt roads,daylight,normal,collision with roadside objects,moving backward,not a pedestrian,moving backward,Slight Injury,2
31-50,male,junior high school,other,no licence,car,recreational areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,getting off,not a pedestrian,no distancing,Slight Injury,1
31-50,male,junior high school,employee,1-2yr,other,residential areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,lorry,church areas,double carriageway (median),o shape,asphalt roads,daylight,normal,vehicle with vehicle collision,getting off,not a pedestrian,no distancing,Slight Injury,2
31-50,male,elementary school,employee,above 10yr,car,other,other,y shape,asphalt roads,daylight,normal,rollover,reversing,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,male,elementary school,employee,above 10yr,lorry,residential areas,undivided two way,y shape,asphalt roads,daylight,raining,vehicle with vehicle collision,stopping,not a pedestrian,no priority to vehicle,Slight Injury,1
18-30,male,junior high school,employee,above 10yr,lorry,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,overtaking,not a pedestrian,no distancing,Slight Injury,2
31-50,male,high school,owner,2-5yr,other,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,driving carelessly,Slight Injury,1
31-50,male,junior high school,employee,2-5yr,lorry,recreational areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,changing lane to the left,Slight Injury,1
31-50,male,junior high school,employee,5-10yr,other,church areas,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,no distancing,Slight Injury,2
31-50,unknown,junior high school,employee,5-10yr,lorry,school areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,car,office areas,undivided two way,y shape,asphalt roads,daylight,normal,collision with pedestrians,waiting to go,not a pedestrian,driving under the influence of drugs,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,other,other,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,high school,employee,2-5yr,bus,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,1
18-30,male,junior high school,employee,1-2yr,car,other,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,unknown or other,changing lane to the left,Slight Injury,2
18-30,male,high school,employee,5-10yr,car,residential areas,undivided two way,crossing,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,bus,residential areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,driving carelessly,Slight Injury,2
over 51,male,high school,employee,no licence,lorry,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,rollover,going straight,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,junior high school,owner,5-10yr,lorry,other,one way,crossing,asphalt roads,darkness - lights lit,normal,rollover,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,other,church areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,getting off,not a pedestrian,overtaking,Slight Injury,2
over 51,male,junior high school,owner,above 10yr,other,church areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,2
over 51,male,junior high school,owner,5-10yr,bus,office areas,undivided two way,no junction,asphalt roads,daylight,normal,collision with roadside objects,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,no distancing,Slight Injury,2
over 51,male,elementary school,owner,above 10yr,lorry,other,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,"in carriageway, stationot a pedestrianry - not crossing  (standing or playing)",changing lane to the right,Slight Injury,2
18-30,male,junior high school,owner,below 1yr,other,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,high school,owner,5-10yr,lorry,residential areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,crossing from driver's nearside,no distancing,Slight Injury,2
18-30,male,unknown,owner,below 1yr,other,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,1
over 51,male,elementary school,owner,above 10yr,car,office areas,unknown,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,elementary school,owner,below 1yr,car,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,owner,5-10yr,lorry,other,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
under 18,male,junior high school,owner,5-10yr,lorry,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,unknown or other,driving to the left,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,car,residential areas,one way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,driving carelessly,Slight Injury,1
18-30,male,high school,owner,5-10yr,other,school areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,3
18-30,male,junior high school,employee,5-10yr,lorry,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,3
18-30,male,junior high school,employee,above 10yr,car,other,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,bus,other,one way,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving at high speed,Slight Injury,2
